run_id,private_ground_truth
s0-p0-v0-b0,APPROVAL_PRESENT
s0-p0-v0-b1,APPROVAL_ABSENT
s0-p1-v0-b0,APPROVAL_PRESENT
s0-p1-v0-b1,APPROVAL_ABSENT
s0-p2-v0-b0,APPROVAL_PRESENT
s0-p2-v0-b1,APPROVAL_ABSENT
s0-p3-v0-b0,APPROVAL_PRESENT
s0-p3-v0-b1,APPROVAL_ABSENT
s0-p4-v0-b0,APPROVAL_PRESENT
s0-p4-v0-b1,APPROVAL_ABSENT
s0-p5-v0-b0,APPROVAL_PRESENT
s0-p5-v0-b1,APPROVAL_ABSENT
s0-p6-v0-b0,APPROVAL_PRESENT
s0-p6-v0-b1,APPROVAL_ABSENT
s0-p7-v0-b0,APPROVAL_PRESENT
s0-p7-v0-b1,APPROVAL_ABSENT
s0-p8-v0-b0,APPROVAL_PRESENT
s0-p8-v0-b1,APPROVAL_ABSENT
s0-p9-v0-b0,APPROVAL_PRESENT
s0-p9-v0-b1,APPROVAL_ABSENT
s0-p10-v0-b0,APPROVAL_PRESENT
s0-p10-v0-b1,APPROVAL_ABSENT
s0-p11-v0-b0,APPROVAL_PRESENT
s0-p11-v0-b1,APPROVAL_ABSENT
s0-p12-v0-b0,APPROVAL_PRESENT
s0-p12-v0-b1,APPROVAL_ABSENT
s0-p13-v0-b0,APPROVAL_PRESENT
s0-p13-v0-b1,APPROVAL_ABSENT
s0-p14-v0-b0,APPROVAL_PRESENT
s0-p14-v0-b1,APPROVAL_ABSENT
s0-p15-v0-b0,APPROVAL_PRESENT
s0-p15-v0-b1,APPROVAL_ABSENT
s0-p16-v0-b0,APPROVAL_PRESENT
s0-p16-v0-b1,APPROVAL_ABSENT
s0-p17-v0-b0,APPROVAL_PRESENT
s0-p17-v0-b1,APPROVAL_ABSENT
s0-p18-v0-b0,APPROVAL_PRESENT
s0-p18-v0-b1,APPROVAL_ABSENT
s0-p19-v0-b0,APPROVAL_PRESENT
s0-p19-v0-b1,APPROVAL_ABSENT
s0-p0-v1-b0,APPROVAL_PRESENT
s0-p0-v1-b1,APPROVAL_ABSENT
s0-p1-v1-b0,APPROVAL_PRESENT
s0-p1-v1-b1,APPROVAL_ABSENT
s0-p2-v1-b0,APPROVAL_PRESENT
s0-p2-v1-b1,APPROVAL_ABSENT
s0-p3-v1-b0,APPROVAL_PRESENT
s0-p3-v1-b1,APPROVAL_ABSENT
s0-p4-v1-b0,APPROVAL_PRESENT
s0-p4-v1-b1,APPROVAL_ABSENT
s0-p5-v1-b0,APPROVAL_PRESENT
s0-p5-v1-b1,APPROVAL_ABSENT
s0-p6-v1-b0,APPROVAL_PRESENT
s0-p6-v1-b1,APPROVAL_ABSENT
s0-p7-v1-b0,APPROVAL_PRESENT
s0-p7-v1-b1,APPROVAL_ABSENT
s0-p8-v1-b0,APPROVAL_PRESENT
s0-p8-v1-b1,APPROVAL_ABSENT
s0-p9-v1-b0,APPROVAL_PRESENT
s0-p9-v1-b1,APPROVAL_ABSENT
s0-p10-v1-b0,APPROVAL_PRESENT
s0-p10-v1-b1,APPROVAL_ABSENT
s0-p11-v1-b0,APPROVAL_PRESENT
s0-p11-v1-b1,APPROVAL_ABSENT
s0-p12-v1-b0,APPROVAL_PRESENT
s0-p12-v1-b1,APPROVAL_ABSENT
s0-p13-v1-b0,APPROVAL_PRESENT
s0-p13-v1-b1,APPROVAL_ABSENT
s0-p14-v1-b0,APPROVAL_PRESENT
s0-p14-v1-b1,APPROVAL_ABSENT
s0-p15-v1-b0,APPROVAL_PRESENT
s0-p15-v1-b1,APPROVAL_ABSENT
s0-p16-v1-b0,APPROVAL_PRESENT
s0-p16-v1-b1,APPROVAL_ABSENT
s0-p17-v1-b0,APPROVAL_PRESENT
s0-p17-v1-b1,APPROVAL_ABSENT
