seed,episode_id,step_1,step_2,step_3,step_4,label_derived_after_execution
0,0,state,task,execute_and_capture,derive_labels,True
0,1,state,task,execute_and_capture,derive_labels,True
0,2,state,task,execute_and_capture,derive_labels,True
0,3,state,task,execute_and_capture,derive_labels,True
0,4,state,task,execute_and_capture,derive_labels,True
0,5,state,task,execute_and_capture,derive_labels,True
0,6,state,task,execute_and_capture,derive_labels,True
0,7,state,task,execute_and_capture,derive_labels,True
0,8,state,task,execute_and_capture,derive_labels,True
0,9,state,task,execute_and_capture,derive_labels,True
0,10,state,task,execute_and_capture,derive_labels,True
0,11,state,task,execute_and_capture,derive_labels,True
0,12,state,task,execute_and_capture,derive_labels,True
0,13,state,task,execute_and_capture,derive_labels,True
0,14,state,task,execute_and_capture,derive_labels,True
0,15,state,task,execute_and_capture,derive_labels,True
0,16,state,task,execute_and_capture,derive_labels,True
0,17,state,task,execute_and_capture,derive_labels,True
0,18,state,task,execute_and_capture,derive_labels,True
0,19,state,task,execute_and_capture,derive_labels,True
0,20,state,task,execute_and_capture,derive_labels,True
0,21,state,task,execute_and_capture,derive_labels,True
0,22,state,task,execute_and_capture,derive_labels,True
0,23,state,task,execute_and_capture,derive_labels,True
0,24,state,task,execute_and_capture,derive_labels,True
0,25,state,task,execute_and_capture,derive_labels,True
0,26,state,task,execute_and_capture,derive_labels,True
0,27,state,task,execute_and_capture,derive_labels,True
0,28,state,task,execute_and_capture,derive_labels,True
0,29,state,task,execute_and_capture,derive_labels,True
0,30,state,task,execute_and_capture,derive_labels,True
0,31,state,task,execute_and_capture,derive_labels,True
0,32,state,task,execute_and_capture,derive_labels,True
0,33,state,task,execute_and_capture,derive_labels,True
0,34,state,task,execute_and_capture,derive_labels,True
0,35,state,task,execute_and_capture,derive_labels,True
0,36,state,task,execute_and_capture,derive_labels,True
0,37,state,task,execute_and_capture,derive_labels,True
0,38,state,task,execute_and_capture,derive_labels,True
0,39,state,task,execute_and_capture,derive_labels,True
0,40,state,task,execute_and_capture,derive_labels,True
0,41,state,task,execute_and_capture,derive_labels,True
0,42,state,task,execute_and_capture,derive_labels,True
0,43,state,task,execute_and_capture,derive_labels,True
0,44,state,task,execute_and_capture,derive_labels,True
0,45,state,task,execute_and_capture,derive_labels,True
0,46,state,task,execute_and_capture,derive_labels,True
0,47,state,task,execute_and_capture,derive_labels,True
0,48,state,task,execute_and_capture,derive_labels,True
0,49,state,task,execute_and_capture,derive_labels,True
0,50,state,task,execute_and_capture,derive_labels,True
0,51,state,task,execute_and_capture,derive_labels,True
0,52,state,task,execute_and_capture,derive_labels,True
0,53,state,task,execute_and_capture,derive_labels,True
0,54,state,task,execute_and_capture,derive_labels,True
0,55,state,task,execute_and_capture,derive_labels,True
0,56,state,task,execute_and_capture,derive_labels,True
0,57,state,task,execute_and_capture,derive_labels,True
0,58,state,task,execute_and_capture,derive_labels,True
0,59,state,task,execute_and_capture,derive_labels,True
0,60,state,task,execute_and_capture,derive_labels,True
0,61,state,task,execute_and_capture,derive_labels,True
0,62,state,task,execute_and_capture,derive_labels,True
0,63,state,task,execute_and_capture,derive_labels,True
0,64,state,task,execute_and_capture,derive_labels,True
0,65,state,task,execute_and_capture,derive_labels,True
0,66,state,task,execute_and_capture,derive_labels,True
0,67,state,task,execute_and_capture,derive_labels,True
0,68,state,task,execute_and_capture,derive_labels,True
0,69,state,task,execute_and_capture,derive_labels,True
0,70,state,task,execute_and_capture,derive_labels,True
0,71,state,task,execute_and_capture,derive_labels,True
0,72,state,task,execute_and_capture,derive_labels,True
0,73,state,task,execute_and_capture,derive_labels,True
0,74,state,task,execute_and_capture,derive_labels,True
0,75,state,task,execute_and_capture,derive_labels,True
0,76,state,task,execute_and_capture,derive_labels,True
0,77,state,task,execute_and_capture,derive_labels,True
0,78,state,task,execute_and_capture,derive_labels,True
0,79,state,task,execute_and_capture,derive_labels,True
0,80,state,task,execute_and_capture,derive_labels,True
0,81,state,task,execute_and_capture,derive_labels,True
0,82,state,task,execute_and_capture,derive_labels,True
0,83,state,task,execute_and_capture,derive_labels,True
0,84,state,task,execute_and_capture,derive_labels,True
0,85,state,task,execute_and_capture,derive_labels,True
0,86,state,task,execute_and_capture,derive_labels,True
0,87,state,task,execute_and_capture,derive_labels,True
0,88,state,task,execute_and_capture,derive_labels,True
0,89,state,task,execute_and_capture,derive_labels,True
0,90,state,task,execute_and_capture,derive_labels,True
