framework,pinned_commit,source_path,source_line,source_sha256,action_family,source_detail,original_v6_disposition,eligibility_interpretation,local_deterministic_adapter,external_network_or_credentials,native_projection_well_defined,canonical_projection_well_defined,deterministic_score
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/basic/image_tool_output.py,17,133bf225dfd0582e9d19912e1d3d1a31ad88edf45b103deadb8ea949268e1752,tool,fetch_random_image,MEDIATED,FULLY_MEDIATED equivalent in frozen V6 schema,ACTION_BOUNDARY_LOCAL_ADAPTER,False,True,True,00cfda4192ea39e20c846fce9465161140d0a0de253cd415d8401c0a4e2441bb
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/model_providers/custom_example_global.py,45,c3ce3342f4b6e6971e488fdff20fe65a253536249359af476acad04cfea87cab,tool,get_weather,MEDIATED,FULLY_MEDIATED equivalent in frozen V6 schema,ACTION_BOUNDARY_LOCAL_ADAPTER,False,True,True,038b1e47ff70c587b5694439b625f69c6adf8e850cadd1474ceb418057ca552b
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_harness_tool_approval.py,848,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,tool,tool,MEDIATED,FULLY_MEDIATED equivalent in frozen V6 schema,ACTION_BOUNDARY_LOCAL_ADAPTER,False,True,True,03c5f8def6b832c2b00dacca7e85d7a23690e38583fc45badabd852a91f37d79
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_harness_tool_approval.py,536,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,tool,tool,MEDIATED,FULLY_MEDIATED equivalent in frozen V6 schema,ACTION_BOUNDARY_LOCAL_ADAPTER,False,True,True,042090cd7644feb6fc8b3187823c56597546466910cd5276736fc0d11159de6e
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_harness_tool_approval.py,831,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,tool,"Name(id='new_guarded_tool', ctx=Load())",MEDIATED,FULLY_MEDIATED equivalent in frozen V6 schema,ACTION_BOUNDARY_LOCAL_ADAPTER,False,True,True,04692f82a4b22ca055f861af94c0449e19862f00ad69bf8c81503fa5122f3733
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_tools.py,176,296f5cc283614a27894e7b327ed40c7eff83c061bf0f4e4a24a378df8df2f44f,tool,get_weather,MEDIATED,FULLY_MEDIATED equivalent in frozen V6 schema,ACTION_BOUNDARY_LOCAL_ADAPTER,False,True,True,0536cc15db9f7d8fbe680cd22c55ccc70e4ed9c41923d6900a9129e202ecf383
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,78,511e3da26270d1df3a8454e0c8df774d8bc41815db245fa2105ca6a5a137c6a7,agents_as_tools,italian_agent.as_tool,MEDIATED,FULLY_MEDIATED equivalent in frozen V6 schema,ACTION_BOUNDARY_LOCAL_ADAPTER,False,True,True,0581bf907baf0baf906af97abafe7c50d5db537adc280a10aca954bbe4b8e69f
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_middleware_with_agent.py,2479,1f5a991b22be7fcfbec8d52b581064beb32a5b496b4401b6c788a565fc7dc02f,tool,"Name(id='tracked_tool', ctx=Load())",MEDIATED,FULLY_MEDIATED equivalent in frozen V6 schema,ACTION_BOUNDARY_LOCAL_ADAPTER,False,True,True,0595899427f27a01b8658d83eecc6c861eb82922fe5bfe06f08714179981870a
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_harness_tool_approval.py,902,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,tool,"Name(id='write_record', ctx=Load())",MEDIATED,FULLY_MEDIATED equivalent in frozen V6 schema,ACTION_BOUNDARY_LOCAL_ADAPTER,False,True,True,06cc1533e246035b2813214e1a5598ca572f9767ed518d0af1960792626e68b9
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_tools.py,245,296f5cc283614a27894e7b327ed40c7eff83c061bf0f4e4a24a378df8df2f44f,tool,tool,MEDIATED,FULLY_MEDIATED equivalent in frozen V6 schema,ACTION_BOUNDARY_LOCAL_ADAPTER,False,True,True,07ada3f5d957726b5c004d689494dc3bb40147eeecb98bd6a61dde28b9faf52b
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_harness_tool_approval.py,584,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,tool,safe_a,MEDIATED,FULLY_MEDIATED equivalent in frozen V6 schema,ACTION_BOUNDARY_LOCAL_ADAPTER,False,True,True,07bd3e4a632d4a1d2b3bd6be965ad6b510f6fdc84c8e5eeae563d340f0f200b6
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/human_in_the_loop.py,64,6ac502e8895fd581a529a8a588bbab8bef84cac79477b920968360a817323ae6,tool,"Name(id='get_temperature', ctx=Load())",MEDIATED,FULLY_MEDIATED equivalent in frozen V6 schema,ACTION_BOUNDARY_LOCAL_ADAPTER,False,True,True,0845f69458c9f5a6283b8ba5d311936b3eb87d855a0a4465d0b69edb8be2f385
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/sandbox/healthcare_support/workflow.py,443,d5fed2d6f5c078295aa322c7ef2d20e140b6df742d2497b3480bd66694460f1e,agents_as_tools,policy_agent.as_tool,MEDIATED,FULLY_MEDIATED equivalent in frozen V6 schema,ACTION_BOUNDARY_LOCAL_ADAPTER,False,True,True,08533e64e66c87ad78931d73e38d7100a1c81cfcba839b824a47cd40eccaa54b
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/mcp/streamablehttp_custom_client_example/server.py,13,99ffc8e36edb28f00bbaf853e6c7bd5365a222b12cfa748715312af74fca212c,tool,mcp.tool,MEDIATED,FULLY_MEDIATED equivalent in frozen V6 schema,ACTION_BOUNDARY_LOCAL_ADAPTER,False,True,True,091074deb8ee17f7031e6db1e33efa476d360e3994b03cf10e25289fbbd2614f
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_harness_tool_approval.py,1290,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,tool,tool,MEDIATED,FULLY_MEDIATED equivalent in frozen V6 schema,ACTION_BOUNDARY_LOCAL_ADAPTER,False,True,True,0956b3a7f3727f3fe191e7d8ef4d466fad4f6138cfc3a88cfd36ab50576af76d
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_middleware_with_chat.py,506,60dd746a31a9b0f6a6cbf22c71955b49118e5cfcee9058690798851a95b39c14,tool,inject_message,MEDIATED,FULLY_MEDIATED equivalent in frozen V6 schema,ACTION_BOUNDARY_LOCAL_ADAPTER,False,True,True,0adc172b116db5b9aea2d9e8b3d2cc7d6127906743e8510f324163085ae22742
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_middleware_with_agent.py,2499,1f5a991b22be7fcfbec8d52b581064beb32a5b496b4401b6c788a565fc7dc02f,tool,"Name(id='sample_tool_function', ctx=Load())",MEDIATED,FULLY_MEDIATED equivalent in frozen V6 schema,ACTION_BOUNDARY_LOCAL_ADAPTER,False,True,True,0b1bb090493d68efa7a94fe528c42596414f34fe9e77bf97d5019597243a0d11
Microsoft Agent Framework,af461de51da16f5cb800ff7febc0f8f96355607a,python/packages/core/tests/core/test_harness_tool_approval.py,1168,ed123abb4754f04bbb2e7ee7a9788bf10e678e60a1f9c277fd6768df8c05daa3,tool,dangerous_tool,MEDIATED,FULLY_MEDIATED equivalent in frozen V6 schema,ACTION_BOUNDARY_LOCAL_ADAPTER,False,True,True,0b6f5a1188e4d38fc8b734aa807c396f223824c739859f798b18319b31b7da08
