workload_id,source,source_commit,domain,source_task_id,public_task,effect_type,effect_arguments_json,reference_steps,mediation_families,private_configurations
tau2-retail-0,tau2-bench,a2c024725189473d2d7cea3a5cfdbcc67478e41f,retail,0,"You received your order #W2378156 and wish to exchange the mechanical keyboard for the same one but with clicky switches and the smart thermostat for one compatible with Google Home instead of Apple HomeKit. If there is no keyboard that is clicky, RGB backlight, full size, you'd go for no backlight.",exchange_delivered_order_items,"{""item_ids"": [""1151293680"", ""4983901480""], ""new_item_ids"": [""7706410293"", ""7747408585""], ""order_id"": ""#W2378156"", ""payment_method_id"": ""credit_card_9513926""}",5,AUTHORIZATION|PROVENANCE_HISTORY,4
tau2-retail-1,tau2-bench,a2c024725189473d2d7cea3a5cfdbcc67478e41f,retail,1,"You received your order #W2378156 and wish to exchange the mechanical keyboard for the same one but with clicky switches and the smart thermostat for one compatible with Google Home instead of Apple HomeKit. If there is no keyboard that is clicky, RGB backlight, full size, you'd rather only exchange the thermostat.",exchange_delivered_order_items,"{""item_ids"": [""4983901480""], ""new_item_ids"": [""7747408585""], ""order_id"": ""#W2378156"", ""payment_method_id"": ""credit_card_9513926""}",5,AUTHORIZATION|PROVENANCE_HISTORY,4
tau2-retail-2,tau2-bench,a2c024725189473d2d7cea3a5cfdbcc67478e41f,retail,2,"You want to know exactly how many tshirt options are available in the online store right now. You want to also return the cleaner, headphone, and smart watch.",return_delivered_order_items,"{""item_ids"": [""4602305039"", ""4202497723"", ""9408160950""], ""order_id"": ""#W2378156"", ""payment_method_id"": ""credit_card_9513926""}",11,AUTHORIZATION|PROVENANCE_HISTORY,4
tau2-retail-5,tau2-bench,a2c024725189473d2d7cea3a5cfdbcc67478e41f,retail,5,"You want to exchange the water bottle and the desk lamp. You want to exchange the water bottle to a bigger one, and the desk lamp to a less bright one (prefer battery > USB > AC). If the agent asks for confirmation, only exchange the desk lamp. If the agent asks for confirmation again, do not exchange anything, and return the water bottle instead.",return_delivered_order_items,"{""item_ids"": [""8538875209""], ""order_id"": ""#W6390527"", ""payment_method_id"": ""paypal_7644869""}",5,AUTHORIZATION|PROVENANCE_HISTORY,4
tau2-retail-6,tau2-bench,a2c024725189473d2d7cea3a5cfdbcc67478e41f,retail,6,"You want to exchange the water bottle and the desk lamp. You want to exchange the water bottle to a bigger one, and the desk lamp to a less bright one (prefer battery > USB > AC). If the agent asks for confirmation, only exchange the desk lamp.",exchange_delivered_order_items,"{""item_ids"": [""8384507844""], ""new_item_ids"": [""7453605304""], ""order_id"": ""#W6390527"", ""payment_method_id"": ""paypal_7644869""}",6,AUTHORIZATION|PROVENANCE_HISTORY,4
tau2-retail-7,tau2-bench,a2c024725189473d2d7cea3a5cfdbcc67478e41f,retail,7,"You want to exchange the water bottle and the desk lamp. You want to exchange the water bottle to a bigger one, and the desk lamp to a less bright one (prefer AC adapter > battery > USB). If the agent asks for confirmation, only exchange the desk lamp.",exchange_delivered_order_items,"{""item_ids"": [""8384507844""], ""new_item_ids"": [""1569765161""], ""order_id"": ""#W6390527"", ""payment_method_id"": ""paypal_7644869""}",6,AUTHORIZATION|PROVENANCE_HISTORY,4
tau2-retail-8,tau2-bench,a2c024725189473d2d7cea3a5cfdbcc67478e41f,retail,8,"You want to exchange the water bottle and the desk lamp. You want to exchange the water bottle to a bigger one, and the desk lamp to a brighter one (prefer battery > USB > AC). If the agent asks for confirmation, only exchange the desk lamp.",exchange_delivered_order_items,"{""item_ids"": [""8384507844""], ""new_item_ids"": [""9083642334""], ""order_id"": ""#W6390527"", ""payment_method_id"": ""paypal_7644869""}",6,AUTHORIZATION|PROVENANCE_HISTORY,4
tau2-retail-9,tau2-bench,a2c024725189473d2d7cea3a5cfdbcc67478e41f,retail,9,"You want to exchange the water bottle and the desk lamp. You want to exchange the water bottle to a bigger one, and the desk lamp to a brighter one (prefer AC adapter > battery > USB). When the agent asks for confirmation, suddenly change your mind and ask to only exchange the desk lamp.",exchange_delivered_order_items,"{""item_ids"": [""8384507844""], ""new_item_ids"": [""7624783998""], ""order_id"": ""#W6390527"", ""payment_method_id"": ""paypal_7644869""}",6,AUTHORIZATION|PROVENANCE_HISTORY,4
tau2-retail-10,tau2-bench,a2c024725189473d2d7cea3a5cfdbcc67478e41f,retail,10,"For some reason, you want to return all things ordered. You have two payment methods and two orders, and you want to refund each order to the other order's payment method. If not possible, you are angry and swear for a few times, then ask for human representative. Make sure to return BOTH orders.",transfer_to_human_agents,"{""summary"": ""The user wants to refund each order to the opposite order's payment method, but the agent cannot help.""}",5,AUTHORIZATION|PROVENANCE_HISTORY,4
tau2-retail-11,tau2-bench,a2c024725189473d2d7cea3a5cfdbcc67478e41f,retail,11,"For some reason, you want to return all things ordered. You have two payment methods and two orders, and you want to refund each order to the other order's payment method. If not possible, you are angry and swear for a few times, then agree to return all things with the original payment method.",return_delivered_order_items,"{""item_ids"": [""5796612084""], ""order_id"": ""#W7387996"", ""payment_method_id"": ""paypal_9497703""}",6,AUTHORIZATION|PROVENANCE_HISTORY,4
