framework,pinned_commit,relative_path,line,behavior_kind,detail,ir_v1_disposition,semantic_bucket,exact_lowering_feasibility,required_ir_primitive,classification_basis,source_excerpt
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools.py,38,agents_as_tools,spanish_agent.as_tool,UNSUPPORTED,MIXED_OR_BOUND_NOT_PROVEN,PARTIAL_SUBSET,"AGENT_AS_TOOL_CALL/RETURN, a bounded nested-capsule stack, and a protected argument/result ABI","The surface API is structured, but exact nested/runtime semantics are not represented or proven bounded.",spanish_agent.as_tool(
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools.py,42,agents_as_tools,french_agent.as_tool,UNSUPPORTED,MIXED_OR_BOUND_NOT_PROVEN,PARTIAL_SUBSET,"AGENT_AS_TOOL_CALL/RETURN, a bounded nested-capsule stack, and a protected argument/result ABI","The surface API is structured, but exact nested/runtime semantics are not represented or proven bounded.",french_agent.as_tool(
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools.py,46,agents_as_tools,italian_agent.as_tool,UNSUPPORTED,MIXED_OR_BOUND_NOT_PROVEN,PARTIAL_SUBSET,"AGENT_AS_TOOL_CALL/RETURN, a bounded nested-capsule stack, and a protected argument/result ABI","The surface API is structured, but exact nested/runtime semantics are not represented or proven bounded.",italian_agent.as_tool(
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools.py,38,agents_as_tools,spanish_agent.as_tool,UNSUPPORTED,MIXED_OR_BOUND_NOT_PROVEN,PARTIAL_SUBSET,"AGENT_AS_TOOL_CALL/RETURN, a bounded nested-capsule stack, and a protected argument/result ABI","The surface API is structured, but exact nested/runtime semantics are not represented or proven bounded.",spanish_agent.as_tool(
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools.py,42,agents_as_tools,french_agent.as_tool,UNSUPPORTED,MIXED_OR_BOUND_NOT_PROVEN,PARTIAL_SUBSET,"AGENT_AS_TOOL_CALL/RETURN, a bounded nested-capsule stack, and a protected argument/result ABI","The surface API is structured, but exact nested/runtime semantics are not represented or proven bounded.",french_agent.as_tool(
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools.py,46,agents_as_tools,italian_agent.as_tool,UNSUPPORTED,MIXED_OR_BOUND_NOT_PROVEN,PARTIAL_SUBSET,"AGENT_AS_TOOL_CALL/RETURN, a bounded nested-capsule stack, and a protected argument/result ABI","The surface API is structured, but exact nested/runtime semantics are not represented or proven bounded.",italian_agent.as_tool(
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools.py,82,conditional_edge,__name__ == '__main__',UNSUPPORTED,EXTRACTOR_FALSE_POSITIVE_OR_OUT_OF_SCOPE,PARTIAL_SUBSET,typed side-effect-free predicate bytecode plus BRANCH,Module-entry boilerplate was lexically counted because its body invokes Agent control.,"if __name__ == ""__main__"":"
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,30,hitl_resume,tool,UNSUPPORTED,STRUCTURED_BOUNDED_CANDIDATE,PARTIAL_SUBSET,"HITL_WAIT/HITL_RESUME with durable continuation, approval token, rejection, and cancellation semantics",Approval/resume operation or approval requirement is syntactically explicit.,@tool(needs_approval=True)
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,67,agents_as_tools,spanish_agent.as_tool,UNSUPPORTED,MIXED_OR_BOUND_NOT_PROVEN,PARTIAL_SUBSET,"AGENT_AS_TOOL_CALL/RETURN, a bounded nested-capsule stack, and a protected argument/result ABI","The surface API is structured, but exact nested/runtime semantics are not represented or proven bounded.",spanish_agent.as_tool(
OpenAI Agents SDK,a40ae9803e6b7a79faa246293f56adb100d5868b,examples/agent_patterns/agents_as_tools_conditional.py,73,agents_as_tools,french_agent.as_tool,UNSUPPORTED,MIXED_OR_BOUND_NOT_PROVEN,PARTIAL_SUBSET,"AGENT_AS_TOOL_CALL/RETURN, a bounded nested-capsule stack, and a protected argument/result ABI","The surface API is structured, but exact nested/runtime semantics are not represented or proven bounded.",french_agent.as_tool(
