work,private authorization/provenance state?,adaptive multi-step mediation?,same-final-effect equivalence?,approval/consent/retry/resume?,trajectory observer?,formal privacy definition?,effect semantics?,dummy-effect constraint?,direct collision?,source,notes
Opal,PARTIAL,YES,NO,NO,YES,YES,NO,NO,NO,https://arxiv.org/abs/2604.02522,"Fixed oblivious request traces protect private agent-memory computation and query-dependent retrieval; the paper does not model approval state, approval persistence, retry/resume mediation, or external effect commits. Its generic construction is an important conceptual predecessor."
ObliDB,PARTIAL,PARTIAL,PARTIAL,NO,YES,YES,NO,NO,PARTIAL,https://arxiv.org/abs/1710.00458,"End-to-end oblivious query processing shows why individually protected accesses are insufficient. It can encode the state machine in principle, but does not define agent approval trajectories, effect-equivalence classes, or no-dummy-effect safety."
ObliVM,YES,YES,YES,NO,YES,YES,NO,NO,PARTIAL,https://doi.org/10.1109/SP.2015.29,"A general compiler/framework for oblivious secure computation can encode bounded secret-dependent state machines. This is a theoretical collision with the normalization principle, not the agent-specific problem, observer, or effect protocol."
Taypsi,YES,YES,YES,NO,YES,YES,NO,NO,PARTIAL,https://arxiv.org/abs/2311.09393,"Its policy-agnostic compiler provides semantic preservation and an obliviousness theorem for private structured computation. It does not instantiate approval/persistence/retry/resume semantics or external no-dummy-effect commits."
GAAP,YES,PARTIAL,NO,PARTIAL,NO,YES,PARTIAL,NO,NO,https://arxiv.org/abs/2604.19657,"Tracks confidentiality and permissions across agent steps and tasks. Its target is deterministic data-disclosure enforcement, not hiding the structural path taken by authorization mediation from an infrastructure observer."
SecureClaw,YES,PARTIAL,NO,PARTIAL,NO,PARTIAL,YES,YES,NO,https://arxiv.org/abs/2606.09549,"Protects plaintext reads and request-bound external writes with PREVIEW-to-COMMIT and deny-aware recovery. It does not normalize successful approval-state-dependent mediation paths with the same effect."
CaMeL,PARTIAL,YES,NO,NO,NO,YES,YES,NO,NO,https://arxiv.org/abs/2503.18813,"Capability and data-flow enforcement prevents untrusted data from steering protected actions; it does not hide trusted approval or provenance control-flow structure from the host."
Fides,YES,YES,NO,PARTIAL,NO,YES,YES,NO,NO,https://arxiv.org/abs/2505.23643,"Formal IFC planner with confidentiality/integrity labels and deterministic policy enforcement. It protects flow integrity/confidentiality rather than the number and order of policy/approval mediation steps."
PAuth,YES,YES,NO,PARTIAL,NO,PARTIAL,YES,NO,NO,https://arxiv.org/abs/2603.17170,"Task-scoped implicit authorization and provenance envelopes verify concrete service operations. It does not define an observer over approval/retry trajectories or same-effect trajectory indistinguishability."
PACT,YES,YES,NO,NO,NO,PARTIAL,YES,NO,NO,https://arxiv.org/abs/2605.11039,"Argument-level provenance contracts operate across replanning steps. The security goal is correct authority binding, not privacy of whether an additional mediation path occurred."
SlotGuard,PARTIAL,PARTIAL,YES,NO,YES,PARTIAL,NO,NO,NO,https://arxiv.org/abs/2607.17147,"Hides private structural bindings in provider-bound transcripts while maintaining task utility. It does not protect approval/persistence/retry/resume counts at the host mediation boundary."
AgentPrint,PARTIAL,YES,NO,NO,YES,PARTIAL,NO,NO,PARTIAL,https://arxiv.org/abs/2510.07176,"Demonstrates attribute inference from encrypted agent traffic and tool-interaction fingerprints. It is the closest measurement neighbor, but does not isolate private authorization state under identical tasks and effects or provide bounded adaptive normalization."
Ghost Tool Calls,PARTIAL,YES,YES,PARTIAL,YES,YES,YES,YES,PARTIAL,https://arxiv.org/abs/2606.02483,"Closest agent-runtime privacy neighbor: protects speculative calls before commit and formalizes observation as an effect. The paper explicitly says its issue is timing/speculation, not authorization, and it does not normalize approval-state-dependent resume paths."
OCELOT,PARTIAL,YES,PARTIAL,PARTIAL,YES,YES,PARTIAL,NO,PARTIAL,https://arxiv.org/abs/2606.12341,"Budgets cumulative inference leakage across agent releases and trajectories. It governs disclosed content to external sinks, not structural leakage from private approval/provenance state to a mediation host."
ToolPrivacyBench,YES,YES,PARTIAL,NO,YES,PARTIAL,YES,NO,NO,https://arxiv.org/abs/2606.28061,"Audits task-private atoms in tool arguments and backend logs across multi-tool trajectories. It evaluates content over-disclosure rather than security-mediation trace shape."
AgentDAM,YES,YES,PARTIAL,NO,YES,PARTIAL,YES,NO,NO,https://arxiv.org/abs/2503.09780,"Evaluates data minimization in web-agent actions and proposes prompting mitigation. It does not formalize hidden authorization state or equalize approval/retry trajectories."
PrivacyPeek,YES,YES,NO,NO,YES,PARTIAL,YES,NO,NO,https://arxiv.org/abs/2606.00152,"Audits unnecessary sensitive-data acquisition from tool trajectories; distinct from host inference of private authorization state through mediation structure."
PPLLA,YES,PARTIAL,NO,NO,YES,YES,NO,NO,NO,https://doi.org/10.1016/j.ins.2026.123623,"Protects sensitive authorization attributes and routing matches at an LLM gateway, but not adaptive agent approval/resume path length."
