execution_id,seed,framework,source_path,stratum,tool_workflow,equivalent,mismatched_fields,native_projection,compiled_projection
IRV2-FROZEN-000,0,OpenAI Agents SDK,examples/basic/hello_world.py,openai_simple,False,True,,"{""branch_choices"": ""[]"", ""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_targets"": ""[]"", ""model_calls"": 1, ""next_model_context"": ""[]"", ""sanitized_final_result"": ""simple-final-0"", ""selected_tools"": ""[]"", ""state_updates"": ""[\""MODEL\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": ""[]"", ""tool_call_ids"": ""[]"", ""tool_results"": ""[]""}","{""branch_choices"": ""[]"", ""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_targets"": ""[]"", ""model_calls"": 1, ""next_model_context"": ""[]"", ""sanitized_final_result"": ""simple-final-0"", ""selected_tools"": ""[]"", ""state_updates"": ""[\""MODEL\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": ""[]"", ""tool_call_ids"": ""[]"", ""tool_results"": ""[]""}"
IRV2-FROZEN-001,1,OpenAI Agents SDK,examples/basic/hello_world.py,openai_simple,False,True,,"{""branch_choices"": ""[]"", ""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_targets"": ""[]"", ""model_calls"": 1, ""next_model_context"": ""[]"", ""sanitized_final_result"": ""simple-final-1"", ""selected_tools"": ""[]"", ""state_updates"": ""[\""MODEL\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": ""[]"", ""tool_call_ids"": ""[]"", ""tool_results"": ""[]""}","{""branch_choices"": ""[]"", ""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_targets"": ""[]"", ""model_calls"": 1, ""next_model_context"": ""[]"", ""sanitized_final_result"": ""simple-final-1"", ""selected_tools"": ""[]"", ""state_updates"": ""[\""MODEL\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": ""[]"", ""tool_call_ids"": ""[]"", ""tool_results"": ""[]""}"
IRV2-FROZEN-002,2,OpenAI Agents SDK,examples/basic/hello_world.py,openai_simple,False,True,,"{""branch_choices"": ""[]"", ""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_targets"": ""[]"", ""model_calls"": 1, ""next_model_context"": ""[]"", ""sanitized_final_result"": ""simple-final-2"", ""selected_tools"": ""[]"", ""state_updates"": ""[\""MODEL\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": ""[]"", ""tool_call_ids"": ""[]"", ""tool_results"": ""[]""}","{""branch_choices"": ""[]"", ""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_targets"": ""[]"", ""model_calls"": 1, ""next_model_context"": ""[]"", ""sanitized_final_result"": ""simple-final-2"", ""selected_tools"": ""[]"", ""state_updates"": ""[\""MODEL\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": ""[]"", ""tool_call_ids"": ""[]"", ""tool_results"": ""[]""}"
IRV2-FROZEN-003,3,OpenAI Agents SDK,examples/basic/hello_world.py,openai_simple,False,True,,"{""branch_choices"": ""[]"", ""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_targets"": ""[]"", ""model_calls"": 1, ""next_model_context"": ""[]"", ""sanitized_final_result"": ""simple-final-3"", ""selected_tools"": ""[]"", ""state_updates"": ""[\""MODEL\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": ""[]"", ""tool_call_ids"": ""[]"", ""tool_results"": ""[]""}","{""branch_choices"": ""[]"", ""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_targets"": ""[]"", ""model_calls"": 1, ""next_model_context"": ""[]"", ""sanitized_final_result"": ""simple-final-3"", ""selected_tools"": ""[]"", ""state_updates"": ""[\""MODEL\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": ""[]"", ""tool_call_ids"": ""[]"", ""tool_results"": ""[]""}"
IRV2-FROZEN-004,4,OpenAI Agents SDK,examples/basic/hello_world.py,openai_simple,False,True,,"{""branch_choices"": ""[]"", ""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_targets"": ""[]"", ""model_calls"": 1, ""next_model_context"": ""[]"", ""sanitized_final_result"": ""simple-final-4"", ""selected_tools"": ""[]"", ""state_updates"": ""[\""MODEL\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": ""[]"", ""tool_call_ids"": ""[]"", ""tool_results"": ""[]""}","{""branch_choices"": ""[]"", ""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_targets"": ""[]"", ""model_calls"": 1, ""next_model_context"": ""[]"", ""sanitized_final_result"": ""simple-final-4"", ""selected_tools"": ""[]"", ""state_updates"": ""[\""MODEL\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": ""[]"", ""tool_call_ids"": ""[]"", ""tool_results"": ""[]""}"
IRV2-FROZEN-005,5,OpenAI Agents SDK,examples/basic/hello_world.py,openai_simple,False,True,,"{""branch_choices"": ""[]"", ""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_targets"": ""[]"", ""model_calls"": 1, ""next_model_context"": ""[]"", ""sanitized_final_result"": ""simple-final-5"", ""selected_tools"": ""[]"", ""state_updates"": ""[\""MODEL\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": ""[]"", ""tool_call_ids"": ""[]"", ""tool_results"": ""[]""}","{""branch_choices"": ""[]"", ""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_targets"": ""[]"", ""model_calls"": 1, ""next_model_context"": ""[]"", ""sanitized_final_result"": ""simple-final-5"", ""selected_tools"": ""[]"", ""state_updates"": ""[\""MODEL\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": ""[]"", ""tool_call_ids"": ""[]"", ""tool_results"": ""[]""}"
IRV2-FROZEN-006,6,OpenAI Agents SDK,examples/basic/hello_world.py,openai_simple,False,True,,"{""branch_choices"": ""[]"", ""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_targets"": ""[]"", ""model_calls"": 1, ""next_model_context"": ""[]"", ""sanitized_final_result"": ""simple-final-6"", ""selected_tools"": ""[]"", ""state_updates"": ""[\""MODEL\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": ""[]"", ""tool_call_ids"": ""[]"", ""tool_results"": ""[]""}","{""branch_choices"": ""[]"", ""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_targets"": ""[]"", ""model_calls"": 1, ""next_model_context"": ""[]"", ""sanitized_final_result"": ""simple-final-6"", ""selected_tools"": ""[]"", ""state_updates"": ""[\""MODEL\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": ""[]"", ""tool_call_ids"": ""[]"", ""tool_results"": ""[]""}"
IRV2-FROZEN-007,7,OpenAI Agents SDK,examples/basic/hello_world.py,openai_simple,False,True,,"{""branch_choices"": ""[]"", ""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_targets"": ""[]"", ""model_calls"": 1, ""next_model_context"": ""[]"", ""sanitized_final_result"": ""simple-final-7"", ""selected_tools"": ""[]"", ""state_updates"": ""[\""MODEL\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": ""[]"", ""tool_call_ids"": ""[]"", ""tool_results"": ""[]""}","{""branch_choices"": ""[]"", ""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_targets"": ""[]"", ""model_calls"": 1, ""next_model_context"": ""[]"", ""sanitized_final_result"": ""simple-final-7"", ""selected_tools"": ""[]"", ""state_updates"": ""[\""MODEL\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": ""[]"", ""tool_call_ids"": ""[]"", ""tool_results"": ""[]""}"
IRV2-FROZEN-008,8,OpenAI Agents SDK,examples/basic/hello_world.py,openai_simple,False,True,,"{""branch_choices"": ""[]"", ""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_targets"": ""[]"", ""model_calls"": 1, ""next_model_context"": ""[]"", ""sanitized_final_result"": ""simple-final-8"", ""selected_tools"": ""[]"", ""state_updates"": ""[\""MODEL\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": ""[]"", ""tool_call_ids"": ""[]"", ""tool_results"": ""[]""}","{""branch_choices"": ""[]"", ""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_targets"": ""[]"", ""model_calls"": 1, ""next_model_context"": ""[]"", ""sanitized_final_result"": ""simple-final-8"", ""selected_tools"": ""[]"", ""state_updates"": ""[\""MODEL\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": ""[]"", ""tool_call_ids"": ""[]"", ""tool_results"": ""[]""}"
IRV2-FROZEN-009,9,OpenAI Agents SDK,examples/basic/hello_world.py,openai_simple,False,True,,"{""branch_choices"": ""[]"", ""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_targets"": ""[]"", ""model_calls"": 1, ""next_model_context"": ""[]"", ""sanitized_final_result"": ""simple-final-9"", ""selected_tools"": ""[]"", ""state_updates"": ""[\""MODEL\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": ""[]"", ""tool_call_ids"": ""[]"", ""tool_results"": ""[]""}","{""branch_choices"": ""[]"", ""effect_count"": 0, ""external_effect_sequence"": ""[]"", ""handoff_targets"": ""[]"", ""model_calls"": 1, ""next_model_context"": ""[]"", ""sanitized_final_result"": ""simple-final-9"", ""selected_tools"": ""[]"", ""state_updates"": ""[\""MODEL\"", \""RETURN\""]"", ""termination_class"": ""RETURN"", ""tool_arguments"": ""[]"", ""tool_call_ids"": ""[]"", ""tool_results"": ""[]""}"
